Time,Sofa,Dining,Balcony_S,Fridge,Study room,GBR,Balcony_B,MBR,Kitchen,TV stand ,,Sofa IORatio,Dining IORatio,Fridge IORatio,Study IORatio,GBR IORatio,MBR IORatio,Kitchen IORatio,TV IORatio
00:00:00,28.6969697,37.86666667,27.70833333,34.46666667,32.13333333,45.6,33.78,34.66666667,33.05,30.81666667,,1.035680109,1.366616541,1.243909774,1.159699248,1.645714286,1.25112782,1.192781955,1.112180451
00:01:00,27.09090909,38.43333333,27.52777778,33.73333333,31.48333333,45.4,33.59666667,35.19607843,33.36666667,30.83333333,,0.984129896,1.396165489,1.22542886,1.143693239,1.649243189,1.278565917,1.212108981,1.120080727
00:02:00,28.43939394,37.56666667,26.61111111,32.93333333,32.81666667,46.93333333,33.81333333,37.03921569,33.06666667,31.65,,1.068703739,1.411691023,1.237578288,1.233194154,1.763674322,1.391870318,1.242588727,1.189352818
00:03:00,27.72727273,38.15,27.70833333,32.7,30.96666667,46.45,32.81333333,31.33333333,33.28333333,31.13333333,,1.000683527,1.376842105,1.180150376,1.117593985,1.676390977,1.130827068,1.201203008,1.123609023
00:04:00,26.59090909,37.91666667,27.54166667,31.65,31.78333333,47.93333333,33.61333333,34.7254902,30.85,31.01666667,,0.965479301,1.376701967,1.149167927,1.154009077,1.740393343,1.260834742,1.120121029,1.126172466
00:05:00,28.89393939,37.26666667,27.33333333,33.4,31.66666667,43.28333333,32.76333333,34.2745098,33.75,31.11666667,,1.057095344,1.363414634,1.22195122,1.158536585,1.583536585,1.253945481,1.234756098,1.138414634
00:06:00,27.13636364,37.83333333,28.77777778,33.51666667,29.28333333,45.4,32.29666667,33.05882353,32.23333333,29.4,,0.942962443,1.314671815,1.164671815,1.017567568,1.577606178,1.148762208,1.12007722,1.021621622
00:07:00,26.45454545,37.78333333,28.36111111,34.6,31.38333333,45.38333333,34.29666667,33.7254902,33.43333333,31.55,,0.932775354,1.33222331,1.219980411,1.106562194,1.600195886,1.18914559,1.17884427,1.112438786
00:08:00,28.24242424,37.31666667,26.23611111,34.46666667,29.18333333,45,32.88,34.1372549,31.85,30.78333333,,1.076471438,1.422339862,1.313710958,1.112334569,1.715193224,1.301155295,1.213975648,1.173319217
00:09:00,27.98484848,37.61666667,27.875,33.98333333,32.6,45.2,33.93,32.54901961,32.88333333,29.65,,1.003940753,1.349476831,1.219133034,1.169506726,1.621524664,1.167677833,1.179671151,1.06367713
00:10:00,28.04545455,37.11666667,27.68055556,34.15,30.5,48.65,33.63,33.17647059,31.76666667,31.8,,1.013182502,1.340893126,1.233718013,1.101856498,1.75755143,1.198547859,1.147616658,1.148820873
00:11:00,26.37878788,37.81666667,28.22222222,33.6,28.53333333,47.25,33.13,34.80392157,32.41666667,30.21666667,,0.93468146,1.33996063,1.190551181,1.011023622,1.674212598,1.233209819,1.148622047,1.070669291
00:12:00,27.39393939,39.03333333,28.11111111,33.7,29.15,47.43333333,32.91333333,36.45098039,30.53333333,30.8,,0.974487963,1.388537549,1.198814229,1.036956522,1.687351779,1.296675192,1.086166008,1.095652174
00:13:00,28.6969697,38.31666667,28.70833333,33.28333333,31.03333333,46.36666667,32.74666667,33.64705882,31.68333333,30.71666667,,0.999604169,1.334687954,1.159361393,1.080986938,1.61509434,1.172031077,1.103628447,1.069956459
00:14:00,27.1969697,38.18333333,27.69444444,31.45,30.55,46.46666667,32.58,34.1372549,32.48333333,31.38333333,,0.98203702,1.378736209,1.13560682,1.103109328,1.677833501,1.232639094,1.172918756,1.133199599
00:15:00,27.24242424,39.1,28.40277778,33.81666667,30.66666667,47.33333333,32.83,33.74509804,32.28333333,30.91666667,,0.959146477,1.376625917,1.190611247,1.079706601,1.666503667,1.188091471,1.136625917,1.088508557
00:16:00,26.42424242,37.76666667,27.76388889,32.35,32.16666667,46.43333333,33.01333333,34.09803922,32.25,31.38333333,,0.951748602,1.36028014,1.165182591,1.15857929,1.672436218,1.228143484,1.16158079,1.130365183
00:17:00,27.21212121,39.25,28.20833333,33.1,30.58333333,47.55,34.76333333,33.11764706,33.55,30.3,,0.964683765,1.391432792,1.173412112,1.084194978,1.685672083,1.17403771,1.189364845,1.074150665
00:18:00,26.6969697,39.31666667,28.44444444,33.95,30.35,47.01666667,34.99666667,35.2745098,31.9,29.75,,0.938565341,1.382226563,1.193554688,1.066992188,1.652929688,1.240119485,1.121484375,1.045898438
00:19:00,27.31818182,37.05,27.58333333,33.41666667,30.25,46.61666667,32.59666667,34.17647059,32.51666667,31.05,,0.990387256,1.343202417,1.211480363,1.096676737,1.690030211,1.239026124,1.178851964,1.125679758
00:20:00,27.81818182,37.5,27.30555556,34.5,31.68333333,46.25,32.93,32.50980392,32.38333333,31.18333333,,1.018773698,1.373346897,1.263479145,1.160325534,1.693794507,1.190593023,1.185961343,1.142014242
00:21:00,27.56060606,38.55,27.65277778,32.8,31.98333333,44.13333333,32.71333333,33.88235294,31.58333333,30.53333333,,0.996666819,1.39407333,1.186137619,1.156604721,1.595981919,1.225278459,1.142139628,1.104168759
